barcode,isoform,num_reads,num_A,num_C,num_G,num_T,num_DEL,num_INS,num_reads_ACGT,A%_INSDEL,C%_INSDEL,G%_INSDEL,T%_INSDEL,INS%_INSDEL,DEL%_INSDEL,A%,C%,G%,T%,barcode_num,experiment,cap,RT
barcode07,E_(5_6_7_8),5392,1983,1011,801,520,274,803,4315,0.36776706231454,0.1875,0.148553412462908,0.0964391691394658,0.1489243323442136,0.0508160237388724,0.4595596755504055,0.2342989571263035,0.1856315179606025,0.1205098493626883,7,FM179_combined,m⁷Gp₃A-U1,ProtoScript
barcode08,E_(5_6_7_8),3088,1904,184,178,301,239,282,2567,0.616580310880829,0.0595854922279792,0.0576424870466321,0.0974740932642487,0.091321243523316,0.0773963730569948,0.7417218543046358,0.0716790027269185,0.0693416439423451,0.1172574990261005,8,FM179_combined,TMG-U1,ProtoScript
barcode08,E_(5_6_7_8),2987,1923,209,177,219,278,181,2528,0.6437897556076331,0.0699698694342149,0.0592567793773016,0.0733177100770003,0.0605959156344158,0.0930699698694342,0.7606803797468354,0.0826740506329113,0.0700158227848101,0.086629746835443,8,FM180 + FM181,TMG-U1,ProtoScript
barcode09,E_(5_6_7_8),23078,16780,599,1047,1292,1524,1836,19718,0.7270994020279054,0.0259554554120807,0.0453678828321345,0.0559840540774763,0.0795562873732559,0.066036918277147,0.850999087128512,0.0303783345166852,0.0530986915508672,0.0655238868039354,9,FM180 + FM181,NAD-U1,Marathon
barcode09,E_(5_6_7_8),15196,11882,357,787,582,576,1012,13608,0.7819162937615162,0.0234930244801263,0.0517899447222953,0.0382995525138194,0.0665964727559884,0.0379047117662542,0.8731628453850676,0.0262345679012345,0.0578336272780717,0.0427689594356261,9,FM179_combined,NAD-U1,Marathon
barcode10,E_(5_6_7_8),6529,2850,255,521,2217,190,496,5843,0.4365140143973043,0.0390565170776535,0.0797978250880686,0.339561954357482,0.0759687547863378,0.0291009342931536,0.4877631353756632,0.0436419647441382,0.0891665240458668,0.3794283758343317,10,FM179_combined,Ap₄A-U1,Marathon
barcode10,E_(5_6_7_8),22001,7932,831,1314,9330,810,1784,19407,0.3605290668605972,0.0377710104086177,0.0597245579746375,0.424071633107586,0.0810872233080314,0.0368165083405299,0.4087185036327098,0.0428196011748338,0.0677075282114701,0.4807543669809862,10,FM180 + FM181,Ap₄A-U1,Marathon
barcode11,E_(5_6_7_8),29016,11420,5926,4423,3339,1033,2875,25108,0.3935759580920871,0.2042321477805349,0.1524331403363661,0.1150744416873449,0.099083264405845,0.0356010476978218,0.4548351123148,0.2360203919069619,0.1761589931495937,0.1329855026286442,11,FM180 + FM181,m⁷Gp₃A-U1,Marathon
barcode11,E_(5_6_7_8),7852,3403,937,1462,919,168,963,6721,0.4333927661742231,0.119332654100866,0.1861946001018848,0.1170402445236882,0.1226439123790117,0.021395822720326,0.5063234637702723,0.13941377771165,0.2175271536973664,0.1367356048207112,11,FM179_combined,m⁷Gp₃A-U1,Marathon
barcode12,E_(5_6_7_8),2423,872,147,136,478,326,464,1633,0.3598844407758976,0.060668592653735,0.0561287659925711,0.1972761040033017,0.191498142798184,0.1345439537763103,0.5339865278628292,0.090018371096142,0.0832823025107164,0.2927127985303123,12,FM180 + FM181,TMG-U1,Marathon
barcode12,E_(5_6_7_8),6014,2685,349,360,1055,474,1091,4449,0.4464582640505487,0.0580312603924176,0.0598603259062188,0.1754240106418357,0.1814100432324576,0.0788160957765214,0.6035064059339177,0.0784445942908518,0.0809170600134861,0.2371319397617442,12,FM179_combined,TMG-U1,Marathon
barcode13,E_(5_6_7_8),3205,982,139,170,431,1063,420,1722,0.306396255850234,0.0433697347893915,0.0530421216848674,0.1344773790951638,0.1310452418096724,0.3316692667706708,0.570267131242741,0.0807200929152148,0.0987224157955865,0.2502903600464576,13,FM179_combined,NAD-U1,GoScript
barcode13,E_(5_6_7_8),5271,1533,322,233,761,1699,723,2849,0.2908366533864542,0.0610889774236387,0.0442041358376019,0.1443748814266742,0.1371656232214001,0.3223297287042307,0.538083538083538,0.113022113022113,0.0817830817830817,0.2671112671112671,13,FM180 + FM181,NAD-U1,GoScript
barcode14,E_(5_6_7_8),20662,3248,902,497,13492,1223,1300,18139,0.157196786371116,0.0436550188752298,0.0240538186042009,0.6529861581647469,0.0629174329687348,0.0591907850159713,0.1790616902806108,0.0497271073377804,0.0273995258834555,0.7438116764981532,14,FM180 + FM181,Ap₄A-U1,GoScript
barcode15,E_(5_6_7_8),10391,1856,4124,675,1582,1163,991,8237,0.1786161100952747,0.3968819170435954,0.0649600615917621,0.1522471369454335,0.0953709941295351,0.111923780194399,0.2253247541580672,0.500667718829671,0.0819473109141677,0.1920602160980939,15,FM180 + FM181,m⁷Gp₃A-U1,GoScript
barcode15,E_(5_6_7_8),805,205,143,46,122,160,129,516,0.2546583850931677,0.177639751552795,0.0571428571428571,0.1515527950310559,0.1602484472049689,0.1987577639751552,0.3972868217054263,0.2771317829457364,0.0891472868217054,0.2364341085271318,15,FM179_combined,m⁷Gp₃A-U1,GoScript
barcode16,E_(5_6_7_8),706,201,62,40,105,210,88,408,0.2847025495750708,0.0878186968838526,0.0566572237960339,0.1487252124645892,0.1246458923512747,0.2974504249291784,0.4926470588235294,0.1519607843137254,0.0980392156862745,0.2573529411764705,16,FM179_combined,TMG-U1,GoScript
barcode16,E_(5_6_7_8),926,357,61,65,116,218,109,599,0.3855291576673866,0.0658747300215982,0.070194384449244,0.1252699784017278,0.1177105831533477,0.2354211663066954,0.5959933222036727,0.1018363939899833,0.1085141903171953,0.1936560934891485,16,FM180 + FM181,TMG-U1,GoScript
barcode17,E_(5_6_7_8),4786,3391,132,320,109,149,685,3952,0.7085248641872127,0.0275804429586293,0.0668616798997074,0.0227747597158378,0.1431257835353113,0.0311324697033012,0.8580465587044535,0.0334008097165991,0.0809716599190283,0.027580971659919,17,FM179_combined,NAD-U1,EpiScript
barcode17,E_(5_6_7_8),65764,44612,2084,5246,1890,2523,9409,53832,0.6783650629523752,0.031689070007907,0.0797700869776777,0.0287391277902803,0.1430721975548932,0.0383644547168663,0.8287264080844108,0.0387130331401396,0.0974513300639025,0.035109228711547,17,FM180 + FM181,NAD-U1,EpiScript
barcode18,E_(5_6_7_8),20681,9262,1114,790,7201,351,1963,18367,0.4478506842028915,0.0538658672211208,0.0381993133794303,0.348193994487694,0.0949180407136985,0.0169720999951646,0.5042739696194262,0.06065225676485,0.0430119235585561,0.3920618500571677,18,FM180 + FM181,Ap₄A-U1,EpiScript
barcode18,E_(5_6_7_8),3787,1798,251,145,1001,129,463,3195,0.4747821494586744,0.0662793768154211,0.0382888830208608,0.2643253234750462,0.1222603644045418,0.0340639028254555,0.5627543035993741,0.0785602503912363,0.0453834115805946,0.313302034428795,18,FM179_combined,Ap₄A-U1,EpiScript
barcode19,E_(5_6_7_8),2041,756,175,382,154,49,525,1467,0.370406663400294,0.0857422831945124,0.1871631553160215,0.0754532092111709,0.2572268495835375,0.0240078392944635,0.5153374233128835,0.1192910702113156,0.2603953646898432,0.1049761417859577,19,FM179_combined,m⁷Gp₃A-U1,EpiScript
barcode19,E_(5_6_7_8),81349,31385,13496,6999,3709,633,25127,55589,0.3858068322905014,0.1659024696062643,0.0860367060443275,0.0455936766278626,0.3088790274004597,0.0077812880305842,0.5645901167497167,0.2427818453291118,0.1259062044649121,0.0667218334562593,19,FM180 + FM181,m⁷Gp₃A-U1,EpiScript
barcode20,E_(5_6_7_8),1567,1098,63,104,59,63,180,1324,0.7007019783024888,0.0402042118698149,0.0663688576898532,0.0376515634971282,0.1148691767708998,0.0402042118698149,0.8293051359516617,0.0475830815709969,0.0785498489425981,0.0445619335347432,20,FM180 + FM181,TMG-U1,EpiScript
barcode20,E_(5_6_7_8),910,571,47,56,48,65,123,722,0.6274725274725275,0.0516483516483516,0.0615384615384615,0.0527472527472527,0.1351648351648351,0.0714285714285714,0.7908587257617729,0.0650969529085872,0.077562326869806,0.0664819944598338,20,FM179_combined,TMG-U1,EpiScript
